source,source_iso3,recipient,recipient_iso3,year,category,value_usd
Argentina,ARG,Australia,AUS,2017,Enrichment,689765
Argentina,ARG,Australia,AUS,2017,Ignore,58668
Argentina,ARG,Bolivia,BOL,2017,Ignore,193316
Argentina,ARG,Bolivia,BOL,2018,Ignore,198258
Argentina,ARG,Bolivia,BOL,2019,Ignore,198015
Argentina,ARG,Bolivia,BOL,2020,Ignore,95459
Argentina,ARG,Bolivia,BOL,2021,Ignore,185327
Argentina,ARG,Brazil,BRA,2017,Ignore,3549799
Argentina,ARG,Brazil,BRA,2018,Ignore,391272
Argentina,ARG,Brazil,BRA,2019,Ignore,264348
Argentina,ARG,Brazil,BRA,2021,Ignore,376116
Argentina,ARG,Canada,CAN,2018,Fuel fabrication,120089
Argentina,ARG,Canada,CAN,2019,Ignore,58183
Argentina,ARG,Canada,CAN,2020,Ignore,59501
Argentina,ARG,Canada,CAN,2021,Ignore,4152211
Argentina,ARG,Chile,CHL,2017,Ignore,444510
Argentina,ARG,Chile,CHL,2018,Ignore,572755
Argentina,ARG,Chile,CHL,2019,Ignore,679403
Argentina,ARG,Chile,CHL,2020,Ignore,783629
Argentina,ARG,Chile,CHL,2021,Ignore,690576
Argentina,ARG,Costa Rica,CRI,2017,Ignore,43865
Argentina,ARG,Costa Rica,CRI,2018,Ignore,39708
Argentina,ARG,Costa Rica,CRI,2019,Ignore,33772
Argentina,ARG,Costa Rica,CRI,2020,Ignore,5348
Argentina,ARG,Costa Rica,CRI,2021,Ignore,51024
Argentina,ARG,Cuba,CUB,2017,Ignore,1731
Argentina,ARG,Dominican Rep.,DOM,2017,Ignore,727
Argentina,ARG,Dominican Rep.,DOM,2018,Ignore,47139
Argentina,ARG,Dominican Rep.,DOM,2019,Enrichment,16
Argentina,ARG,Dominican Rep.,DOM,2019,Ignore,25683
Argentina,ARG,Dominican Rep.,DOM,2021,Ignore,29344
Argentina,ARG,Ecuador,ECU,2017,Fuel fabrication,156
Argentina,ARG,Ecuador,ECU,2017,Ignore,648794
Argentina,ARG,Ecuador,ECU,2018,Ignore,781265
Argentina,ARG,Ecuador,ECU,2019,Ignore,637892
Argentina,ARG,Ecuador,ECU,2020,Ignore,489611
Argentina,ARG,Ecuador,ECU,2021,Ignore,569580
Argentina,ARG,Egypt,EGY,2017,Ignore,1151
Argentina,ARG,Egypt,EGY,2019,Ignore,1601
Argentina,ARG,El Salvador,SLV,2019,Ignore,24396
Argentina,ARG,El Salvador,SLV,2020,Ignore,109806
Argentina,ARG,El Salvador,SLV,2021,Ignore,205957
Argentina,ARG,France,FRA,2017,Fuel fabrication,2739
Argentina,ARG,France,FRA,2019,Fuel fabrication,143
Argentina,ARG,France,FRA,2021,Ignore,112
Argentina,ARG,Guatemala,GTM,2017,Ignore,164581
Argentina,ARG,Guatemala,GTM,2018,Ignore,211141
Argentina,ARG,Guatemala,GTM,2019,Ignore,175545
Argentina,ARG,Guatemala,GTM,2020,Ignore,93408
Argentina,ARG,Guatemala,GTM,2021,Ignore,228187
Argentina,ARG,Honduras,HND,2018,Ignore,23183
Argentina,ARG,Honduras,HND,2019,Ignore,12769
Argentina,ARG,Honduras,HND,2020,Ignore,34177
Argentina,ARG,Honduras,HND,2021,Ignore,81231
Argentina,ARG,Indonesia,IDN,2018,Ignore,4327
Argentina,ARG,Japan,JPN,2017,Ignore,41423
Argentina,ARG,Mexico,MEX,2017,Enrichment,3976
Argentina,ARG,Mexico,MEX,2017,Ignore,329349
Argentina,ARG,Mexico,MEX,2017,Mining,3436
Argentina,ARG,Netherlands,NLD,2017,Ignore,2395
Argentina,ARG,Netherlands,NLD,2018,Ignore,2067
Argentina,ARG,Netherlands,NLD,2019,Ignore,4121
Argentina,ARG,Netherlands,NLD,2020,Ignore,5256
Argentina,ARG,Netherlands,NLD,2021,Ignore,2775
Argentina,ARG,New Zealand,NZL,2018,Ignore,10861
Argentina,ARG,Nicaragua,NIC,2017,Ignore,58429
Argentina,ARG,Nicaragua,NIC,2018,Ignore,137718
Argentina,ARG,Nicaragua,NIC,2019,Ignore,113870
Argentina,ARG,Nicaragua,NIC,2020,Ignore,47181
Argentina,ARG,Nicaragua,NIC,2021,Ignore,217316
Argentina,ARG,Panama,PAN,2017,Ignore,169690
Argentina,ARG,Panama,PAN,2018,Ignore,336897
Argentina,ARG,Panama,PAN,2019,Ignore,239559
Argentina,ARG,Panama,PAN,2020,Ignore,89194
Argentina,ARG,Panama,PAN,2021,Ignore,165347
Argentina,ARG,Paraguay,PRY,2017,Ignore,136089
Argentina,ARG,Paraguay,PRY,2018,Ignore,158517
Argentina,ARG,Paraguay,PRY,2019,Ignore,158013
Argentina,ARG,Paraguay,PRY,2020,Ignore,124583
Argentina,ARG,Paraguay,PRY,2021,Ignore,136863
Argentina,ARG,Peru,PER,2017,Fuel fabrication,1687210
Argentina,ARG,Peru,PER,2017,Ignore,331582
Argentina,ARG,Peru,PER,2018,Ignore,88686
