iso3_countrycode,country,lat,lon,year,amount_totalcap.mw_nonrenewable,amount_totalcap.mw_nuclear,amount_totalcap.mw_renewable,amount_totalgen.gwh_nonrenewable,amount_totalgen.gwh_nuclear,amount_totalgen.gwh_renewable,prop_totalcap.mw_nonrenewable,prop_totalcap.mw_nuclear,prop_totalcap.mw_renewable,prop_totalgen.gwh_nonrenewable,prop_totalgen.gwh_nuclear,prop_totalgen.gwh_renewable
GBR,United Kingdom of Great Britain and Northern Ireland (the),53.942185006965346,-2.522154505706491,2022,43294.5,8141,55624.76,0,0,0,0.4043937498377082,0.07604128740206682,0.5195649627602249,NA,NA,NA
TZA,United Republic of Tanzania (the),-6.263890162556162,34.80479601737322,2022,1317.68,0,683.24,0,0,0,0.6585370729464446,0,0.34146292705355535,NA,NA,NA
VIR,United States Virgin Islands,NA,NA,2022,329.7,0,10.09,0,0,0,0.9703051884987788,0,0.029694811501221344,NA,NA,NA
USA,United States of America (the),39.52760418136378,-99.14432916630732,2022,726960.7000000001,94771.6,370963.67,0,0,0,0.6095104857275573,0.07945998174203607,0.3110295325304067,NA,NA,NA
URY,Uruguay,-32.796212485697694,-56.01794689922857,2022,1177.88,0,3754.4900000000002,1316.6599999999999,0,13419.01,0.2388060911894282,0,0.7611939088105717,0.08935189238086899,0,0.910648107619131
UZB,Uzbekistan,41.775482324430406,63.119338324715415,2022,14364.2,0,2301.1600000000003,0,0,0,0.8619195744946404,0,0.13808042550535962,NA,NA,NA
VUT,Vanuatu,-15.245561042357426,166.85546773762252,2022,23.15,0,12.13,0,0,0,0.6561791383219954,0,0.3438208616780045,NA,NA,NA
VEN,Venezuela (Bolivarian Republic of),7.122717653210318,-66.15543653733374,2022,17893,0,16972.53,0,0,0,0.5132002869309602,0,0.4867997130690398,NA,NA,NA
VNM,Viet Nam,16.678335235658643,106.30786268156564,2022,33987,0,45327.49,0,0,0,0.4285093429964689,0,0.5714906570035312,NA,NA,NA
YEM,Yemen,15.93558738093482,47.54775813185706,2022,1744.75,0,256.8,0,0,0,0.8716994329394719,0,0.1283005670605281,NA,NA,NA
ZMB,Zambia,-13.45661246754682,27.795762903937685,2022,523.6,0,3303.46,0,0,0,0.13681520540571615,0,0.8631847945942839,NA,NA,NA
ZWE,Zimbabwe,-18.999999399224972,29.872162810062942,2022,1250.75,0,1221.26,0,0,0,0.5059647816958669,0,0.49403521830413305,NA,NA,NA
