source,source_iso3,recipient,recipient_iso3,year,category,value_usd
Angola,AGO,Portugal,PRT,2016,Ignore,1831
Angola,AGO,Portugal,PRT,2017,Ignore,594
Angola,AGO,Portugal,PRT,2018,Ignore,367
Angola,AGO,Portugal,PRT,2019,Ignore,1238
Angola,AGO,Portugal,PRT,2020,Ignore,150
Angola,AGO,Russian Federation,RUS,2016,Ignore,2923
Angola,AGO,Russian Federation,RUS,2017,Ignore,235744
Angola,AGO,Russian Federation,RUS,2018,Ignore,4966
Angola,AGO,Russian Federation,RUS,2019,Ignore,226
Angola,AGO,Saudi Arabia,SAU,2016,Ignore,1653
Angola,AGO,Saudi Arabia,SAU,2018,Ignore,3691
Angola,AGO,Saudi Arabia,SAU,2019,Ignore,2240
Angola,AGO,Singapore,SGP,2018,Ignore,14864
Angola,AGO,Singapore,SGP,2019,Ignore,23520
Angola,AGO,South Africa,ZAF,2016,Fuel fabrication,42574
Angola,AGO,South Africa,ZAF,2016,Ignore,20545
Angola,AGO,South Africa,ZAF,2017,Ignore,19801
Angola,AGO,South Africa,ZAF,2020,Ignore,4201
Angola,AGO,South Africa,ZAF,2020,Power Plant,175
Angola,AGO,Spain,ESP,2016,Enrichment,6942
Angola,AGO,USA,USA,2017,Ignore,25398
Angola,AGO,USA,USA,2018,Ignore,1474909
Angola,AGO,USA,USA,2019,Ignore,197048
Angola,AGO,USA,USA,2020,Ignore,18823
Angola,AGO,USA,USA,2021,Ignore,48840
Angola,AGO,United Arab Emirates,ARE,2016,Ignore,454
Angola,AGO,United Arab Emirates,ARE,2017,Ignore,2053
Angola,AGO,United Kingdom,GBR,2016,Ignore,6304
Angola,AGO,United Kingdom,GBR,2017,Ignore,32846
Angola,AGO,United Kingdom,GBR,2018,Ignore,117623
Angola,AGO,United Kingdom,GBR,2019,Ignore,137179
Angola,AGO,United Kingdom,GBR,2020,Ignore,3723
Angola,AGO,United Kingdom,GBR,2021,Ignore,520
Angola,AGO,Venezuela,VEN,2016,Ignore,3389
Antigua and Barbuda,ATG,Germany,DEU,2019,Ignore,20142
Antigua and Barbuda,ATG,Germany,DEU,2021,Ignore,10682
Argentina,ARG,Algeria,DZA,2017,Enrichment,202884
Argentina,ARG,Australia,AUS,2017,Enrichment,1379529
Argentina,ARG,Australia,AUS,2017,Ignore,117423
Argentina,ARG,Belgium,BEL,2016,Power Plant,1495
Argentina,ARG,Bolivia,BOL,2016,Ignore,170385
Argentina,ARG,Bolivia,BOL,2017,Ignore,385515
Argentina,ARG,Bolivia,BOL,2018,Ignore,396515
Argentina,ARG,Bolivia,BOL,2019,Ignore,396030
Argentina,ARG,Bolivia,BOL,2020,Ignore,190917
Argentina,ARG,Bolivia,BOL,2021,Ignore,185327
Argentina,ARG,Brazil,BRA,2016,Ignore,2895336
Argentina,ARG,Brazil,BRA,2016,Power Plant,477
Argentina,ARG,Brazil,BRA,2017,Ignore,7097532
Argentina,ARG,Brazil,BRA,2018,Ignore,782544
Argentina,ARG,Brazil,BRA,2019,Ignore,528696
Argentina,ARG,Brazil,BRA,2021,Ignore,376116
Argentina,ARG,Canada,CAN,2016,Ignore,100
Argentina,ARG,Canada,CAN,2018,Fuel fabrication,240178
Argentina,ARG,Canada,CAN,2019,Ignore,116364
Argentina,ARG,Canada,CAN,2020,Ignore,119002
Argentina,ARG,Canada,CAN,2021,Ignore,4152211
Argentina,ARG,Chile,CHL,2016,Ignore,883107
Argentina,ARG,Chile,CHL,2017,Ignore,886384
Argentina,ARG,Chile,CHL,2018,Ignore,1145509
Argentina,ARG,Chile,CHL,2019,Ignore,1358805
Argentina,ARG,Chile,CHL,2020,Ignore,1567258
Argentina,ARG,Chile,CHL,2021,Ignore,690576
Argentina,ARG,Costa Rica,CRI,2016,Ignore,68350
Argentina,ARG,Costa Rica,CRI,2017,Ignore,87251
Argentina,ARG,Costa Rica,CRI,2018,Ignore,79415
Argentina,ARG,Costa Rica,CRI,2019,Ignore,67544
Argentina,ARG,Costa Rica,CRI,2020,Ignore,10696
Argentina,ARG,Costa Rica,CRI,2021,Ignore,51024
Argentina,ARG,Cuba,CUB,2017,Ignore,3461
Argentina,ARG,Dominican Rep.,DOM,2016,Ignore,1021
Argentina,ARG,Dominican Rep.,DOM,2017,Ignore,1454
Argentina,ARG,Dominican Rep.,DOM,2018,Ignore,94278
Argentina,ARG,Dominican Rep.,DOM,2019,Enrichment,32
Argentina,ARG,Dominican Rep.,DOM,2019,Ignore,51366
Argentina,ARG,Dominican Rep.,DOM,2021,Ignore,29344
Argentina,ARG,Ecuador,ECU,2016,Ignore,824223
Argentina,ARG,Ecuador,ECU,2017,Fuel fabrication,312
Argentina,ARG,Ecuador,ECU,2017,Ignore,1286483
Argentina,ARG,Ecuador,ECU,2018,Ignore,1562530
Argentina,ARG,Ecuador,ECU,2019,Ignore,1266258
Argentina,ARG,Ecuador,ECU,2020,Ignore,979221
Argentina,ARG,Ecuador,ECU,2021,Ignore,569580
Argentina,ARG,Egypt,EGY,2017,Ignore,2301
Argentina,ARG,Egypt,EGY,2019,Ignore,3235
Argentina,ARG,El Salvador,SLV,2019,Ignore,48792
Argentina,ARG,El Salvador,SLV,2020,Ignore,219612
Argentina,ARG,El Salvador,SLV,2021,Ignore,205957
Argentina,ARG,France,FRA,2016,Enrichment,677
Argentina,ARG,France,FRA,2017,Fuel fabrication,5478
Argentina,ARG,France,FRA,2019,Fuel fabrication,286
Argentina,ARG,France,FRA,2021,Ignore,112
Argentina,ARG,Guatemala,GTM,2016,Ignore,126821
Argentina,ARG,Guatemala,GTM,2017,Ignore,323614
Argentina,ARG,Guatemala,GTM,2018,Ignore,422282
Argentina,ARG,Guatemala,GTM,2019,Ignore,351090
Argentina,ARG,Guatemala,GTM,2020,Ignore,186816
Argentina,ARG,Guatemala,GTM,2021,Ignore,228187
Argentina,ARG,Honduras,HND,2018,Ignore,46366
Argentina,ARG,Honduras,HND,2019,Ignore,25538
Argentina,ARG,Honduras,HND,2020,Ignore,34177
Argentina,ARG,Honduras,HND,2021,Ignore,81231
Argentina,ARG,Indonesia,IDN,2018,Ignore,8654
Argentina,ARG,Japan,JPN,2017,Ignore,82845
Argentina,ARG,Mexico,MEX,2016,Ignore,113792
Argentina,ARG,Mexico,MEX,2017,Enrichment,7951
Argentina,ARG,Mexico,MEX,2017,Ignore,658698
Argentina,ARG,Mexico,MEX,2017,Mining,6871
Argentina,ARG,Netherlands,NLD,2016,Ignore,2356
Argentina,ARG,Netherlands,NLD,2017,Ignore,4489
Argentina,ARG,Netherlands,NLD,2018,Ignore,4134
Argentina,ARG,Netherlands,NLD,2019,Ignore,8241
Argentina,ARG,Netherlands,NLD,2020,Ignore,10512
Argentina,ARG,Netherlands,NLD,2021,Ignore,2775
Argentina,ARG,New Zealand,NZL,2018,Ignore,21721
Argentina,ARG,Nicaragua,NIC,2016,Ignore,16578
Argentina,ARG,Nicaragua,NIC,2017,Ignore,115974
Argentina,ARG,Nicaragua,NIC,2018,Ignore,275436
Argentina,ARG,Nicaragua,NIC,2019,Ignore,227739
Argentina,ARG,Nicaragua,NIC,2020,Ignore,94361
Argentina,ARG,Nicaragua,NIC,2021,Ignore,217316
Argentina,ARG,Panama,PAN,2016,Ignore,164601
Argentina,ARG,Panama,PAN,2017,Ignore,340669
Argentina,ARG,Panama,PAN,2018,Ignore,336897
Argentina,ARG,Panama,PAN,2019,Ignore,239559
Argentina,ARG,Panama,PAN,2020,Ignore,89194
Argentina,ARG,Panama,PAN,2021,Ignore,165347
Argentina,ARG,Paraguay,PRY,2016,Ignore,126523
Argentina,ARG,Paraguay,PRY,2017,Ignore,272193
Argentina,ARG,Paraguay,PRY,2018,Ignore,317034
Argentina,ARG,Paraguay,PRY,2019,Ignore,316026
Argentina,ARG,Paraguay,PRY,2020,Ignore,249166
Argentina,ARG,Paraguay,PRY,2021,Ignore,136863
Argentina,ARG,Peru,PER,2016,Ignore,254968
Argentina,ARG,Peru,PER,2017,Fuel fabrication,3374419
Argentina,ARG,Peru,PER,2017,Ignore,663163
Argentina,ARG,Peru,PER,2018,Ignore,177371
Argentina,ARG,Peru,PER,2019,Ignore,126925
Argentina,ARG,Peru,PER,2020,Ignore,196876
Argentina,ARG,Peru,PER,2021,Ignore,118632
Argentina,ARG,Poland,POL,2019,Ignore,54614
Argentina,ARG,Rep. of Korea,KOR,2017,Fuel fabrication,572
Argentina,ARG,Rep. of Korea,KOR,2020,Ignore,304
Argentina,ARG,Rep. of Korea,KOR,2021,Ignore,422
Argentina,ARG,Russian Federation,RUS,2017,Ignore,70795
Argentina,ARG,Saudi Arabia,SAU,2018,Ignore,137491
Argentina,ARG,Singapore,SGP,2016,Ignore,2990
Argentina,ARG,Spain,ESP,2016,Fuel fabrication,186
Argentina,ARG,USA,USA,2016,Enrichment,100
Argentina,ARG,USA,USA,2016,Ignore,5450
Argentina,ARG,USA,USA,2017,Ignore,7750
Argentina,ARG,USA,USA,2019,Fuel fabrication,56944
Argentina,ARG,United Kingdom,GBR,2018,Ignore,3243875
Argentina,ARG,United Kingdom,GBR,2020,Ignore,1205604
Argentina,ARG,Uruguay,URY,2016,Ignore,428563
Argentina,ARG,Uruguay,URY,2017,Ignore,906021
Argentina,ARG,Uruguay,URY,2018,Ignore,825893
Argentina,ARG,Uruguay,URY,2019,Ignore,870448
Argentina,ARG,Uruguay,URY,2020,Ignore,736229
Argentina,ARG,Uruguay,URY,2021,Ignore,106312
Argentina,ARG,Venezuela,VEN,2016,Ignore,173877
Argentina,ARG,Venezuela,VEN,2017,Ignore,198462
Armenia,ARM,Bulgaria,BGR,2019,Ignore,515
Armenia,ARM,China,CHN,2019,Ignore,700
Armenia,ARM,China,CHN,2019,Power Plant,369952
Armenia,ARM,Colombia,COL,2018,Power Plant,8479
Armenia,ARM,Netherlands,NLD,2016,Ignore,223
Armenia,ARM,Netherlands,NLD,2019,Ignore,714
Aruba,AWB,Sudan,SDN,2017,Enrichment,160
Aruba,AWB,Sudan,SDN,2017,Ignore,2972
Aruba,AWB,Sudan,SDN,2017,Mining,356
Aruba,AWB,USA,USA,2017,Ignore,435
Aruba,AWB,USA,USA,2017,Spent Fuel / HLW,1254
Aruba,AWB,USA,USA,2019,Ignore,851
Aruba,AWB,Venezuela,VEN,2017,Power Plant,335
Australia,AUS,Angola,AGO,2016,Ignore,46960
Australia,AUS,Angola,AGO,2019,Power Plant,847
Australia,AUS,Angola,AGO,2020,Power Plant,48
Australia,AUS,Angola,AGO,2021,Power Plant,22
Australia,AUS,Argentina,ARG,2016,Ignore,76974
